,Tweet Text
166,"The tallest oak in the forest was once a nut who held its ground.

Long Live Khan. Keep Going.

#امپورٹڈ_حکومت_نامنظور…"
167,We are leading a rally from Upper Mall PTI office to Minar e Pakistan at 9PM today. Our Stalwart @Ali_MuhammadPTI is join…
168,"Leaders Must be close enough to relate to others, But far enough ahead to motivate them.
#امپورٹڈ_حکومت_نامنظور https:/…"
169,"|￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣|
                #امپورٹڈ_حکومت_نامنظور  
|＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿|
                     \ (•◡•) /…"
170,"Still the top trend with 4.35Million tweets. Maryam Nawaz, with all the black money, you still can’t defeat 
one trend…"
171,"Problem is despite lies day and night by team of crime minister. No one is willing to believe them 😂 

#امپورٹڈ_حکومت_نامنظور"
172,A question to @OfficialDGISPR installing Anti Imran Chief ECP was a conspiracy against or interference in a civilian rule…
173,"BOTs in London:) #
#امپورٹڈ_حکومت_نامنظور https://t.co/4BPYqv9f2Z"
174,"Lol, I am laughing since yesterday. Bot .....
#امپورٹڈ_حکومت_نامنظور"
175,"BOTs in London:) #
#امپورٹڈ_حکومت_نامنظور https://t.co/4BPYqv9f2Z"
176,"She is the Revolution. Sub kee kampain tang rahee hain. Sub Kee.

#امپورٹڈ_حکومت_نامنظور https://t.co/zUWL77xgyd"
177,Bots 🤣🤣#امپورٹڈ_حکومت_نامنظور
178,"""Compromise for your Dream but NEVER Compromise on your Dream"".
Imran Khan
#مذہب_کا_کارڈ_کھیلنا_بند_کرو 
#امپورٹڈ_حکومت_…"
179,"The perfect role of Maryam Aurangzeb in the hands of her ideal leader Maryam Nawaz .
 #امپورٹڈ_حکومت_نامنظور https://t.co/…"
180,@arifhameed15 Bot got killed by dhadoo charger #امپورٹڈ_حکومت_نامنظور
181,in sha ALLAH Next Prime Minister of  Pakistan Imran Khan. He is not only the leader of Pakistan but Leader of the Musli…
182,"In this era of social media, our youth is so well-informed that no amount of cheap tactics can suppress them, or alter…"
183,"Please . HT is back on the panel. Now let's take it to the top. 
#امپورٹڈ_حکومت_نامنظور"
184,"The most efficient way to deal with the current political turmoil in #Pakistan is to move swiftly for early elections.

Let…"
185,"I'm not Robot
#امپورٹڈ_حکومت_نامنظور since:2022-04-07_17:14:05_UTC https://t.co/mWN8aHxlYF"
186,"Once again we managed to make this trend the No. 1 trend.
Inspite of numberless consipricies to make this trend down.…"
187,"Off to LAHORE for 21st April @PTIofficial #LAHORE JALSA on direction of Chairman @ImranKhanPTI 

#امپورٹڈ_حکومت_نامنظو…"
188,Thank you Karachi for your momentous &amp; passionate support for our jalsa last night. This is our fight for democracy &amp; the…
189,I'm NOT A BOT but we are well informed that's why we all stand with our Great Leader the one and only Imran Khan ❤️❤️…
190,"Sir @ImranKhanPTI Bot007 is active again after charging. I m fully ready to trend 
#امپورٹڈ_حکومت_نامنظور  ہے https://t.co/…"
191,"A Journey of Cherry_Blossom from BOOT to BOT 😂✌️
#امپورٹڈ_حکومت_نامنظور"
192,"ISPR: You are ill informed 
PMLN: You are bots 
Supreme Court: You don't matter
ECP: We won't let you have an elect… https://t.co/PmNeXlDX5S"
193,"After the statement of chief justice of Pakistan:
We are working 24hrz.😂😂
#BreakingNews
#امپورٹڈ_حکومت_نامنظور https:/…"
194,Awaam should now stop hoping any good from any institution of Pakistan. We are at a stage where public will decide which d…
195,"She is the Revolution. Sub kee kampain tang rahee hain. Sub Kee.
#امپورٹڈ_حکومت_نامنظور
#PakistanNeedsElections https://t.c…"
196,"@Farrukhmayo1 He is about to explode.

#امپورٹڈ_حکومت_نامنظور"
197,"I'm no ordinary Bot, I come with Madness features

#امپورٹڈ_حکومت_نامنظور"
198,"Qadir Patel was arrested for working with Uzair Baloch and Dr. Asim on charges of Corruption, Drugs Dealing even Murders.…"
199,"So we have Criminal Cabinet.
Whattay Fallll
#امپورٹڈ_حکومت_نامنظور"
200,"After Dr. Faisal Sultan and his brilliant response to COVID, saving the country from crumbling, the new govt's choice fo…"
201,"Bajwa one of the moat pathetic COAS in history of Pakistan. Coward

#امپورٹڈ_حکومت_نامنظور"
202,"This is Team PTIOfficial and we are NOT a BOT 

Also, we do not accept the Imported Government in Pakistan! #امپورٹڈ_حکومت…"
203,"State of our new Fed Cabinet: 
Shazia Marri: Fake Degree case
Qadir Patel: Hawks bay land case 
Khurshid Shah: on bail
Ra…"
204,These bots are not beggers #امپورٹڈ_حکومت_نامنظور
205,"Imran Khan: ""I will never bow to a worldly force!!""

#امپورٹڈ_حکومت_نامنظور
#KarachiJalsa https://t.co/glZUCi8Wl3"
206,"BOTs in London:) #
#امپورٹڈ_حکومت_نامنظور https://t.co/4BPYqv9f2Z"
207,"The tallest oak in the forest was once a nut who held its ground.

Long Live Khan. Keep Going.

#امپورٹڈ_حکومت_نامنظور…"
208,"The battle of truth and falsehood has started.
The people of Lahore will support Imran Khan. #21stApril

#امپورٹڈ_حکومت_نامنظو…"
209,"This is aamir liaqat bajwa and I am NOT a BOT.

Also, I do not accept the Imported Government in Pakistan. 

#امپورٹڈ_…"
210,"You serious or what?
I am a concerned citizen, a very concerned citizen. Kesay ker letay hain ye log ye sabh kuch itne conf…"
211,Thank you Karachi for your momentous &amp; passionate support for our jalsa last night. This is our fight for democracy &amp; the…
212,"This is an insult to this country, this is an insult to our forefathers! This kingdom is an attack on the honor of God!…"
213,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
214,"“Compromise for your dream but NEVER compromise on your dream.” — Imran Khan
#امپورٹڈ_حکومت_نامنظور https://t.co/rjH5t…"
215,"Credit goes to M&amp;M for making hashtag immortal. Bewaqoof larkiyan!

#امپورٹڈ_حکومت_نامنظور"
216,We are leading a rally from Upper Mall PTI office to Minar e Pakistan at 9PM today. Our Stalwart @Ali_MuhammadPTI is join…
217,"Leaders Must be close enough to relate to others, But far enough ahead to motivate them.
#امپورٹڈ_حکومت_نامنظور https:/…"
218,"BOTs in London:) #
#امپورٹڈ_حکومت_نامنظور https://t.co/4BPYqv9f2Z"
219,"I am  Khaani , I am Pakistani and I am not a BOT✌️

Copy and  
#امپورٹڈ_حکومت_نامنظور"
220,This is what he deserves!#امپورٹڈ_حکومت_نامنظور https://t.co/uQXNLyJnF3
221,Lol 😂thanks to angry bird. It’s back at number 1 #امپورٹڈ_حکومت_نامنظور
222,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
223,"Keep Scrolling....
#امپورٹڈ_حکومت_نامنظور https://t.co/zfrB4MpRlo"
224,"Make them scream !!

#امپورٹڈ_حکومت_نامنظور"
225,Thank you @Marriyum_A for helping us introduce all our key board warriors on twitter because we are the real strength o…
226,"Are you ready?
#امپورٹڈ_حکومت_نامنظور https://t.co/WlSVHn8701
#امپورٹڈ_حکومت_نامنظور"
227,"War of Independence from America Imran Khan's Stone Where are you supporting Imran Khan in this mission?

 #امپورٹڈ_حکوم…"
228,"Crooks Na - Manzoor
#امپورٹڈ_حکومت_نامنظور"
229,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
230,"Hello  @OfficialDGISPR  Congratulations 
Here is today's  Dollar  💵 rate 
#امپورٹڈ_حکومت_نامنظور https://t.co/4noKD1oAM9"
231,"Pakistan Only 
#امپورٹڈ_حکومت_نامنظور"
232,"This is low quality daadu Charger &amp;  part of imported hakoonat🤣🤣🤣
 #امپورٹڈ_حکومت_نامنظور https://t.co/5HMFVmjUQq"
233,"“Cabinet is being formed without taking into account someone’s capacity, uturns are becoming a routine everyday now”-@Hamm…"
234,"Good Morning People 
#امپورٹڈ_حکومت_نامنظور"
235,"IK’s CM candidate Pervaiz Elahi, has he written anything to ECP To disqualify Tariq Bashir Cheema or will PMLQ continu…"
236,"The real man smiles in trouble, gathers strength from distress, and grows brave by reflection. we are proud of our leade…"
237,Thank you @Marriyum_A for helping us introduce all our key board warriors on twitter because we are the real strength o…
238,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
239,"So Mr. Shabaz Sharif said:""beggers can't be choosers."" Beggers can't be choosers but they want to run a whole country.He…"
240,"Not a Bot
 #امپورٹڈ_حکومت_نامنظور"
241,"From Dr Faisal Sultan to Abdul Qadir Patel as Federal Minister for National Health Department.
What a fall from grace f…"
242,"I’d rather be a BOT than be bought
 #امپورٹڈ_حکومت_نامنظور"
243,"From Dr Faisal Sultan to Abdul Qadir Patel as Federal Minister for National Health Department.
What a fall from grace f…"
